video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
"4R2Ii9Rs2Vw","청년들에 사과하라 하태경 국민의힘 의원 질의에 특혜 아냐 정경두 국방부 장관 답변","2020-09-15T09:33:57Z","UC1aS5CRRDrN6CmR2VcpmetA","한국일보(hankookilbo.com)","25","20.16.09","하태경|정경두|국방장관|추미애|아들|법무부|법무부 장관|장관|더불어민주당|국민의힘|아들 특혜 의혹|사오정|군대|휴가|국방부|용산|카투사|카츄사|특혜|병가|연장","317949","7171","575","2874","https://i.ytimg.com/vi/4R2Ii9Rs2Vw/default.jpg","False","False"
"foWBxI-X5HY","너무 야비하지 않습니까 추미애 법무부 장관의 전주혜 국민의힘 의원 질의에 대한 답변","2020-09-14T12:10:21Z","UC1aS5CRRDrN6CmR2VcpmetA","한국일보(hankookilbo.com)","25","20.16.09","추미애|법무장관|법무부 장관|아들|특혜|논란|법무부|카투사|휴가|병가|전화|연장|전주혜|국민의힘|국민의짐|비례대표|의원|국회|대정부질문|정치분야|정치|사회|경제","699112","14551","1602","10247","https://i.ytimg.com/vi/foWBxI-X5HY/default.jpg","False","False"
"Y8YKAT1dBdk","[김어준의 뉴스공장 FULL/9월 16일] 카투사들의 계속되는 제보 “너무한 언론의 마녀사냥”","2020-09-16T02:10:42Z","UC5HSw5OY2vfVFSihpiB-AVQ","TBS 시민의방송","25","20.16.09","TBS|김어준|뉴스공장|대북전단|삐라|이재용|삼성|정경심|타투이스트|김여정","359175","27974","685","681","https://i.ytimg.com/vi/Y8YKAT1dBdk/default.jpg","False","False"
"dQqlXutx3jY","애플에 배신 당했습니다. 더싸고 좋은 아이패드 에어 4세대? 가성비 애플워치 SE? 등 애플 신제품 발표 자세한 총정리!","2020-09-16T04:00:12Z","UCdUcjkyZtf-1WJyPPiETF1g","ITSub잇섭","28","20.16.09","애플 공개|애플 신제품|아이패드 에어 4세대|아이패드 에어|아이패드|애플워치|애플워치6|애플워치 시리즈6|시리즈6|애플워치 SE","505118","8534","212","2789","https://i.ytimg.com/vi/dQqlXutx3jY/default.jpg","False","False"
"HEmAZNsnj34","[단독] 서울 한복판에 '불법 도박장' 차린 개그맨들 (2020.09.15/뉴스데스크/MBC)","2020-09-15T11:34:00Z","UCF4Wxdo3inmxP-Y59wXDsFw","MBCNEWS","25","20.16.09","MBC|MBC뉴스|뉴스데스크|newsdesk|뉴스투데이|newstoday|8시뉴스|아침뉴스|뉴스|정오뉴스|news|개그맨|불법 도박|도박장","1483028","8157","384","2932","https://i.ytimg.com/vi/HEmAZNsnj34/default.jpg","False","False"
"9a-AuvwSWFA","[FULL-eng sub] BTS Visual Radio in MBC / 방탄소년단, 배철수의 음악캠프 출연 보이는 라디오","2020-09-14T11:12:51Z","UCKNZsAeQXpvI-Mpoc0ZKhsA","MBC Radio봉춘라디오","10","20.16.09","btslive|btsmbc|방탄|봄날|dna|작은것들을위한시|fakelove|idol|피땀눈물|ineedyou|불타오르네|fire|micdrop|쩔어|고민보다go|saveme|run|노홍철|rm|랩몬스터|김남준|진|김석진|jin|슈가|suga|민윤기|제이홉|j-hope|정호석|지민|jimin|박지민|뷔|김태형|정국|전정국|bangtantv","2617451","209554","1304","6059","https://i.ytimg.com/vi/9a-AuvwSWFA/default.jpg","False","False"
"95VJZY5AYIc","피의자 신문하시나 박형수 국민의힘 의원 질문에 대한 추미애 법무부 장관의 답변","2020-09-14T07:56:46Z","UC1aS5CRRDrN6CmR2VcpmetA","한국일보(hankookilbo.com)","25","20.16.09","추미애|법무장관|법무부 장관|아들|특혜|논란|법무부|카투사|휴가|병가|전화|연장","440866","7600","770","4535","https://i.ytimg.com/vi/95VJZY5AYIc/default.jpg","False","False"
"gqsssi5by38","발음 때문에 바보로 오해받지만 알고 보면 IQ 상위 3%의 뇌섹녀 [무엇이든 물어보살]","2020-09-13T22:00:13Z","UCr0adenI5KeQFJkMIGjq5qw","KBS N","24","20.16.09","KBSN|서장훈|이수근|무엇이든물어보살|고민상담|점괘|보살|선녀보살|동자보살|KBSJoy|덕자","3081754","31797","974","6715","https://i.ytimg.com/vi/gqsssi5by38/default.jpg","False","False"
"C-V7kTnGXJI","'다 부숴버리겠다'…비뚤어진 모정이 불러온 편의점 차량 돌진 / 연합뉴스 (Yonhapnews)","2020-09-16T03:02:58Z","UCj3_t5p4L4aFsvdW3uHjnnw","연합뉴스 Yonhapnews","25","20.16.09","연합뉴스|yonhapnews|뉴스|영상|이슈|디지털|news|화제","445911","2247","89","3232","https://i.ytimg.com/vi/C-V7kTnGXJI/default.jpg","False","False"
"b13xnFp_LJs","Apple Event — September 15","2020-09-15T18:14:08Z","UCE_M8A5yxnLfW0KghEeajjw","Apple","28","20.16.09","Apple|iOS|iPhone|Mac|Apple Watch|Series 5|Series 6|iPad|iPad Air|Macbook|iMac|MacBook Pro|Fitness|Wellness|Illustration|Apple TV|Digital Art|AirPods|Apple Event|Apple Keynote|WWDC|September|Apple Special Event|Apple Launch","10800126","421517","37444","0","https://i.ytimg.com/vi/b13xnFp_LJs/default.jpg","True","False"
"76icSNiX0xA","BTS (방탄소년단) VMAs Dynamite Getting Ready | Vogue","2020-09-15T15:44:05Z","UCRXiA3h1no_PFkb1JCP0yMA","Vogue","24","20.16.09","bts|vmas|bts band|bts vogue|bts behind the scenes|bts kpop|bts kpop group|vogue bts|24 hours with bts|24 hours bts|bts interview|interview with bts|bts green screen|bts vogue interview|bts (방탄소년단)|방탄소년단|방탄소년단 vogue|bangtan boys|bangtan boys bts|bts vma|bts vma performance|bts vma bts|dynamite bts|방탄|dynamite vma|dynamite vmas|투모로우바이투게더|big hit bts|dynamite getting ready|dynamite mv|jin|vogue","1827569","328724","1219","13491","https://i.ytimg.com/vi/76icSNiX0xA/default.jpg","False","False"
"TzFRVk2ektI","MAX - Blueberry Eyes (feat. SUGA of BTS) [Official Music Video]","2020-09-15T16:00:09Z","UCbwD4Ynubv_4Y-xDyIq86rw","MAXVEVO","10","20.16.09","MAX|Suga|Blueberry|Eyes|(feat.|SUGA|BTS)|[Official|Music|Video]|(SME/RED|JV)|LP2|Pop","3738368","971739","7199","73939","https://i.ytimg.com/vi/TzFRVk2ektI/default.jpg","False","False"
"1Q4bimul4DE","정동원 헨리 형과 즉석연주 [아내의맛]","2020-09-15T23:00:00Z","UCrLQ0ovys23H9xBV6U-Sd4A","정동원TV","10","20.16.09","[none]","370868","16945","298","1605","https://i.ytimg.com/vi/1Q4bimul4DE/default.jpg","False","False"
"a5D6UajK5JA","[티저] ☕'청춘다큐-다시 스물' 🍰시즌2, 커피프린스 1호점 #MBCLife","2020-09-15T08:00:00Z","UCfWZnsdfiKvOyHDGfzMT3Cg","MBClife","24","20.16.09","MBC|다큐하우스|다큐|다큐멘터리|documentary|교양|지식|정보|시사|시리즈|시리즈m|방송|생방|동물|육아니멀|시청자|반려동물|반려견|찡|다큐플렉스|티저|공유|이선균|윤은혜|채정안|커프|커프1호점|다시스물|청춘다큐","292937","7996","28","926","https://i.ytimg.com/vi/a5D6UajK5JA/default.jpg","False","False"
"4ZwADtASJf4","이강인, 개막전 현지해설 자신이 원하는 대로 플레이를 하고 있어요 #SPORTSTIME","2020-09-14T03:41:06Z","UCnXNukjRxXGD8aeZGRV-lYg","스포츠타임","17","20.16.09","라리가|이강인|SPOTV|SPOTV NEWS|발렌시아|현지해설|손흥민|이승우|KANG IN","791347","4948","163","1152","https://i.ytimg.com/vi/4ZwADtASJf4/default.jpg","False","False"
"ZF0o-_G3prA","이제 싼타페급? 현대 신형 투싼 롱휠베이스 최초공개 편집본","2020-09-15T07:38:07Z","UCd5CdYxogKBwvv1xyuxhvZA","김한용의 MOCAR","2","20.16.09","김한용|mocar|모카|시승기|자동차|국산차|수입차|현대차","523676","4118","363","1124","https://i.ytimg.com/vi/ZF0o-_G3prA/default.jpg","False","False"
"t9Dc-l8p-Vs","애플워치 시리즈6, SE, 아이패드 에어4, 8세대! 애플 신제품 발표회 8분 순삭 총정리!","2020-09-15T20:15:01Z","UCO4RG1vk36RKwc2z6TZ7Djw","이퓨","28","20.16.09","아이패드 에어4|애플워치 시리즈6|애플워치6|애플워치 6|애플워치|애플워치 SE|애플워치SE|아이페드에어4|아이패드에어|아이패드8세대|8세대아이패드|애플|apple|테크|tech|기술|모바일|it","56660","811","48","580","https://i.ytimg.com/vi/t9Dc-l8p-Vs/default.jpg","False","False"
"InSGyn6cpaU","던파 슈퍼계정 간단 정리 : G식백과 김펠레 사이언스","2020-09-15T13:27:29Z","UCZ0bi2aVJngKLwFTU5g_fLQ","김성회의 G식백과","20","20.16.09","던파|던전앤파이터|궁댕이맨단|슈퍼계정|네오플","418671","10923","183","2762","https://i.ytimg.com/vi/InSGyn6cpaU/default.jpg","False","False"
"saZ7wiqN7y4","세계 최초! 현대 신형 투싼을 실물로 만났습니다!…투싼 하이브리드, 실제로 보면 충격!","2020-09-16T03:20:54Z","UCd5CdYxogKBwvv1xyuxhvZA","김한용의 MOCAR","2","20.16.09","투싼 풀체인지|투싼 후속|신형 투싼|tucson hybrid 2021|투싼 하이브리드|현대 투싼|현대 투싼 풀체인지|현대 투싼 nx4|현대 투싼 신형|현대 투싼 차박|현대 투싼 가솔린|투싼 공개|투싼 옵션|투싼 nx4|투싼 신형|투싼 실내|투싼 디젤|투싼 리뷰|hyundai tucson|4세대 투싼|현대 신형 투싼|hyundai tucson 2021|현대 투싼 리뷰|투싼 nx4 크기|투싼 nx4 색상|투싼 nx4 출시일|투싼 nx4 실내|신형 투싼 nx4|투싼 풀체인지 nx4|4세대 투싼 풀체인지|hyundai tucson 2021 korea|vision t|모카 투싼|nx4 투싼|모카 김한용|김한용 모카|김한용 투싼|투싼 풀체인지 하이브리드|투싼 nx4 하이브리드|투싼 디자인","311525","3517","226","984","https://i.ytimg.com/vi/saZ7wiqN7y4/default.jpg","False","False"
"HeyDvliT-6E","귀엽고 짜증나는 미니 팬케잌 시리얼","2020-09-15T10:18:45Z","UCN8CPzwkYiDVLZlgD4JQgJQ","박막례 할머니 Korea Grandma","23","20.16.09","박막례|박막례할머니|막례할머니|박막례여사","506521","16673","256","1057","https://i.ytimg.com/vi/HeyDvliT-6E/default.jpg","False","False"
"u-x1G3PAs_E","헐리웃에서 이병헌 연기실력보고 충격받아 30억 주고 캐스팅했다는 영화","2020-09-14T04:51:28Z","UCpCiIDf9UrfRqte55FHWlYQ","드림텔러(DreamTeller)","1","20.16.09","[none]","938632","7494","412","1149","https://i.ytimg.com/vi/u-x1G3PAs_E/default.jpg","False","False"
